OBJECTID,Country,Feature Description,Feature Name,Installation Identifier,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Metadata Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
750,usa,na,Point of Marsh Target,M00146,No,No,No,na,na, ,2a5cf414-8a0b-4e42-8100-96cae7c8ceec,Point of Marsh Target,act,usmc,NC,0.00476180547821059,0.832266566433512
751,usa,na,ALF Bogue,M00146,No,No,No,na,na, ,453955f5-b854-4663-8078-d90a1793a3dc,ALF Bogue,act,usmc,NC,0.000359639677299128,0.134261754307246
752,usa,na,OLF Atlantic,M00146,No,No,No,na,na, ,e4ef33c2-a766-4674-8209-6557c3cda64e,OLF Atlantic,act,usmc,NC,0.000586528089115745,0.13275738395181
753,usa,na,Oak Grove,M00146,No,No,No,na,na, ,cb85041c-d46f-4fd6-9503-b058ec06e307,Oak Grove,act,usmc,NC,0.000379787453766767,0.10719138461072
754,usa,na,Marine Corps Air Station Cherry Point,M00146,No,Yes,No,na,na, ,0c82fb47-d16b-44c9-95bc-a172ea24eddc,MCAS Cherry Point,act,usmc,NC,0.0045351536355156,0.896729286628641
755,usa,na,MC Trng Area Bellows,M00318,No,No,No,na,na, ,02cf0e5c-d799-4b8c-a9c5-e388335b4cde,MC Trng Area Bellows,act,usmc,HI,0.000363459386107934,0.137776490315923
756,usa,na,Puuloa-Oahu,M00318,No,No,No,na,na, ,7e17b1b6-6e3a-4c22-8244-03af7b2003e9,Puuloa-Oahu,act,usmc,HI,5.57724742975552E-05,0.0345102833234319
757,usa,na,"Marine Corps Base Hawaii, Camp H.M. Smith",M00318,No,Yes,No,na,na, ,e750c1dd-a4cd-4e28-bc79-75e9e534a582,MCB Camp Smith,act,usmc,HI,7.77194361489819E-05,0.0456671536921886
758,usa,na,Pearl City Annex,M00318,No,No,No,na,na, ,53a812ce-f226-4378-a5fe-b3a6a873f443,Pearl City Annex,act,usmc,HI,9.56323674472515E-06,0.0133774300585058
759,usa,na,Marine Corps Base Hawaii,M00318,No,Yes,No,na,na, ,f49e846f-d22a-4905-ac6c-82c716a435a3,MCB Hawaii (Kaneohe Bay),act,usmc,HI,0.00106958477317676,0.19344237913269
760,usa,na,Marine Corps Air Station New River,M67001,No,Yes,No,na,na, ,8c0d6d10-8698-422c-82a6-e4ee257600ff,MCB Camp Lejeune (West Site),act,usmc,NC,0.0107335648558546,1.59511266997148
762,usa,na,Marine Corps Air Station Miramar,M67865,No,Yes,No,na,na, ,8d24c057-a525-4e2f-8110-24a4e67cb95a,MCAS Miramar,act,usmc,CA,0.00880453206718812,0.73552597534323
763,usa,na,Brooklyn NY,M68479,No,No,No,na,na, ,fc35296f-0241-4380-9d36-816bfcc7f697,Brooklyn NY,act,usmcr,NY,2.18505010707304E-05,0.0373589766610626
764,usa,na,Dyess AFB,FNWZ,No,yes,No,na,na, ,031f047a-2bea-41d9-91ef-89b26728ca6b,Dyess AFB,act,usaf,TX,2.40052077060682E-06,0.0067872939113647
765,usa,na,Syracuse MCRC,M68479,No,No,No,na,na, ,141e38a5-339a-4efb-9470-f5bcba131364,Syracuse MCRC,act,usmcr,NY,0.000114314048687447,0.0692707004325354
766,usa,na,MCRD Parris Island,M00263,No,No,No,na,na, ,2b9bccfc-5982-4746-9fcf-13e7a40af3eb,MCRD Parris Island,act,usmc,SC,0.00394692312829648,0.294467199488311
767,usa,na,Marine Corps Base Quantico,M00264,No,Yes,No,na,na, ,4a65a07b-d1d5-43c1-8cc1-b0fd615cf7b3,MCB Quantico,act,usmc,VA,0.0246878977184224,1.23881402465382
768,usa,na,Former NTC,M00243,No,No,No,na,na, ,47361682-b63c-45d6-af0a-512e2b6fab42,Former NTC,act,usmc,CA,2.78433890343877E-05,0.027839449786147
769,usa,na,MCRD San Diego,M00243,No,No,No,na,na, ,96c077e4-0568-44d2-80da-abfa03c10c29,MCRD San Diego,act,usmc,CA,0.000165790751680106,0.0692895659102345
770,usa,na,Harbor Drive,M00243,No,No,No,na,na, ,f9a30a5a-48b5-4bab-93f3-7d125400f0be,Harbor Drive,act,usmc,CA,3.03700880976976E-06,0.00964949392056101
771,usa,na,Marine Corps Air Ground Combat Center Twentynine Palms,M67399,No,Yes,No,na,na, ,5ed7d8e9-6057-4c20-ab83-b31e350751e8,Twentynine Palms,act,usmc,CA,0.302383415095392,3.15707565794447
772,usa,na,Marine Corps Air Station Yuma,M62974,No,Yes,No,na,na, ,4d352e8d-4812-4e79-a964-6cd21b64a271,MCAS Yuma,act,usmc,AZ,0.00184606464699755,0.213534945262811
773,usa,na,Barry Goldwater Range,M62974,No,No,No,na,na, ,de13aec4-e374-463b-af1b-436adfd696c3,Barry Goldwater Range,act,usmc,AZ,0.269050107739986,2.70907450343228
774,usa,na,Choc Mt Air Gnry Rng,M62974,No,No,No,na,na, ,329a5f34-8d78-4e5b-a0be-abf29f68d058,Choc Mt Air Gnry Rng,act,usmc,CA,0.179590501644498,2.87245578384834
775,usa,na,Air Force Office of Scientific Research,WHS01,No,Yes,No,na,na, ,b464a05a-a6b5-449b-aaa0-309d955300fd,One Liberty Center,act,whs,VA,4.55495410278672E-07,0.00272253396167369
777,usa,na,Pentagon,WHS01,No,Yes,No,na,na, ,bbacf11d-3872-4c1e-9c41-c756ae9b8ae1,Pentagon Building Site,act,whs,VA,9.4073527634464E-05,0.0786037085266943
778,usa,na,Mark Center,WHS01,No,Yes,No,na,na, ,cc4e73ff-9252-42af-b180-94c4f3cafc08,Mark Center,act,whs,VA,7.81186258791422E-06,0.0196942185111123
779,usa,na,Arbuckle Airfield,QSEU,No,No,No,na,na, ,d283dca8-f6fe-45fa-813f-d9d9216c303c,Arbuckle Airfield,act,usaf,FL,0.000651963496920871,0.140798450762782
